Date,Open,High,Low,Close,Volume,Name
2013-01-02,79.12,79.29,77.38,78.43,140124866,AAPL
2013-01-03,78.27,78.52,77.29,77.44,88240950,AAPL
2013-01-04,76.71,76.95,75.12,75.29,148581860,AAPL
2013-01-07,74.6,75.6,73.6,74.8,121038176,AAPL
2013-01-08,75.6,75.98,74.46,75.04,114676751,AAPL
2013-01-09,74.64,75.0,73.71,73.87,101899959,AAPL
2013-01-10,75.51,75.53,73.65,74.79,150285296,AAPL
2013-01-11,74.43,75.05,74.15,74.33,87688741,AAPL
2013-01-14,71.81,72.5,71.22,71.68,183544396,AAPL
2013-01-15,71.19,71.28,69.05,69.42,219192932,AAPL
2013-01-16,70.66,72.78,70.36,72.3,172700045,AAPL
2013-01-17,72.9,72.96,71.72,71.81,113412579,AAPL
2013-01-18,71.22,71.75,70.91,71.43,118287267,AAPL
2013-01-22,72.08,72.55,70.95,72.11,115386173,AAPL
2013-01-23,72.69,73.57,72.11,73.43,215375853,AAPL
2013-01-24,65.71,66.53,64.32,64.36,365212953,AAPL
2013-01-25,64.53,65.18,62.14,62.84,301993503,AAPL
2013-01-28,62.55,64.74,62.27,64.26,196378931,AAPL
2013-01-29,65.5,65.74,64.59,65.47,142768017,AAPL
2013-01-30,65.29,66.09,64.93,65.26,104288317,AAPL
2013-01-31,65.28,65.61,65.0,65.07,79833215,AAPL
2013-02-01,65.59,65.64,64.05,64.8,134867089,AAPL
2013-02-04,64.84,65.13,63.14,63.19,119278754,AAPL
2013-02-05,63.44,65.68,63.17,65.41,143336536,AAPL
2013-02-06,65.21,66.64,64.65,65.34,148426012,AAPL
2013-02-07,66.18,67.14,64.87,66.89,176145074,AAPL
2013-02-08,67.71,68.4,66.89,67.85,158288984,AAPL
2013-02-11,68.07,69.28,67.61,68.56,129358516,AAPL
2013-02-12,68.5,68.91,66.82,66.84,152262712,AAPL
2013-02-13,66.74,67.66,66.17,66.72,118801221,AAPL
2013-02-14,66.36,67.38,66.29,66.66,88876501,AAPL
2013-02-15,66.98,67.17,65.7,65.74,97981177,AAPL
2013-02-19,65.87,66.1,64.84,65.71,108944213,AAPL
2013-02-20,65.38,65.38,64.11,64.12,119074886,AAPL
2013-02-21,63.71,64.17,63.26,63.72,111795180,AAPL
2013-02-22,64.18,64.51,63.8,64.4,82663644,AAPL
2013-02-25,64.84,65.02,63.22,63.26,93144464,AAPL
2013-02-26,63.4,64.51,62.52,64.14,125374074,AAPL
2013-02-27,64.06,64.63,62.95,63.51,146836928,AAPL
2013-02-28,63.44,63.98,63.06,63.06,80628737,AAPL
2013-03-01,62.57,62.6,61.43,61.5,138111792,AAPL
2013-03-04,61.11,61.17,59.86,60.01,145684399,AAPL
2013-03-05,60.21,62.17,60.11,61.59,159607042,AAPL
2013-03-06,62.07,62.18,60.63,60.81,115062269,AAPL
2013-03-07,60.64,61.72,60.15,61.51,117117826,AAPL
2013-03-08,61.4,62.2,61.23,61.67,97898983,AAPL
2013-03-11,61.39,62.72,60.73,62.55,118558356,AAPL
2013-03-12,62.23,62.7,61.08,61.2,116477473,AAPL
2013-03-13,61.21,62.07,60.77,61.19,101454192,AAPL
2013-03-14,61.83,62.09,61.49,61.79,75968746,AAPL
2013-03-15,62.56,63.46,62.46,63.38,160989787,AAPL
2013-03-18,63.06,65.35,63.03,65.1,151549090,AAPL
2013-03-19,65.64,65.85,64.07,64.93,131693310,AAPL
2013-03-20,65.35,65.38,64.23,64.58,77165158,AAPL
2013-03-21,64.32,65.43,64.3,64.68,95813410,AAPL
2013-03-22,64.94,66.01,64.73,65.99,98776111,AAPL
2013-03-25,66.38,67.14,65.97,66.23,125283438,AAPL
2013-03-26,66.49,66.55,65.79,65.88,73573423,AAPL
2013-03-27,65.21,65.26,64.39,64.58,82852294,AAPL
2013-03-28,64.26,64.55,63.09,63.24,110745586,AAPL
2013-04-01,63.13,63.38,61.11,61.27,97432489,AAPL
2013-04-02,61.09,62.59,60.91,61.4,132443234,AAPL
2013-04-03,61.62,62.47,61.47,61.71,90803727,AAPL
2013-04-04,61.97,62.14,60.75,61.1,89664638,AAPL
2013-04-05,60.64,60.71,59.95,60.46,95923478,AAPL
2013-04-08,60.69,61.07,60.36,60.89,75264742,AAPL
2013-04-09,60.91,61.21,60.39,61.0,76688115,AAPL
2013-04-10,61.16,62.44,60.86,62.24,93981748,AAPL
2013-04-11,61.96,62.57,61.6,62.05,82154093,AAPL
2013-04-12,62.02,62.02,61.3,61.4,59681279,AAPL
